"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"1","decomandat",37400,2,65,65,1,"mic"
"2","semidecomandat",39900,2,65,79,1,"mic"
"3","decomandat",90290,2,58,68,1,"mediu"
"4","decomandat",700000,5,233,270,3,"mare"
"5","decomandat",48000,2,42,53,1,"mic"
"6","decomandat",389888,4,161,188,3,"mare"
"7","decomandat",389888,4,160,191,3,"mare"
"8","decomandat",135000,2,50,70,1,"mediu"
"9","decomandat",103320,2,47,58,1,"mediu"
"10","decomandat",79900,2,61,72,1,"mediu"
"11","decomandat",205000,2,63,76,1,"mare"
"12","decomandat",215000,2,88,100,1,"mare"
"14","decomandat",92500,2,39,56,1,"mediu"
"15","decomandat",179000,4,162,192,2,"mare"
"16","decomandat",49850,2,50,54,1,"mic"
"17","semidecomandat",48112,2,52,59,1,"mic"
"18","decomandat",55192,2,70,80,1,"mic"
"19","semidecomandat",66670,2,46,58,1,"mediu"
"20","semidecomandat",135000,4,90,124,3,"mediu"
"22","decomandat",31500,1,39,47,1,"mic"
"23","decomandat",39900,2,46,56,1,"mic"
"24","decomandat",44400,2,43,52,1,"mic"
"25","decomandat",135000,2,53,70,2,"mediu"
"26","semidecomandat",126000,2,51,63,1,"mediu"
"27","semidecomandat",173950,3,84,105,2,"mare"
"28","decomandat",28900,1,31,41,1,"mic"
"29","semidecomandat",49400,2,53,65,1,"mic"
"30","decomandat",85000,3,145,160,2,"mediu"
"31","decomandat",41800,2,51,60,1,"mic"
"32","decomandat",117900,2,47,60,1,"mediu"
"33","decomandat",31000,2,46,49,1,"mic"
"34","decomandat",71500,2,60,80,1,"mediu"
"35","decomandat",184999,3,90,108,2,"mare"
"36","decomandat",209999,3,90,107,2,"mare"
"37","decomandat",87000,2,76,76,1,"mediu"
"38","decomandat",109500,3,90,107,2,"mediu"
"39","decomandat",65900,2,63,85,1,"mediu"
"40","decomandat",43500,2,46,50,1,"mic"
"41","decomandat",99500,3,89,101,2,"mediu"
"42","decomandat",82000,2,54,63,1,"mediu"
"43","decomandat",71500,2,52,64,1,"mediu"
"44","decomandat",173000,3,95,117,2,"mare"
"45","decomandat",80500,2,58,70,1,"mediu"
"46","semidecomandat",130200,2,75,89,1,"mediu"
"47","decomandat",200000,3,82,99,2,"mare"
"48","decomandat",106000,2,61,76,1,"mediu"
"49","decomandat",39900,1,38,45,1,"mic"
"50","decomandat",69500,2,60,84,1,"mediu"
"51","decomandat",88498,2,57,63,1,"mediu"
"52","decomandat",64900,2,60,71,1,"mic"
"53","decomandat",58900,2,88,100,11,"mic"
"54","decomandat",212625,3,85,102,2,"mare"
"55","decomandat",65500,1,43,53,1,"mediu"
"56","decomandat",35619,2,64,73,1,"mic"
"57","semidecomandat",81000,1,47,57,1,"mediu"
"58","decomandat",95000,2,55,75,1,"mediu"
"59","semidecomandat",95000,2,54,71,1,"mediu"
"60","decomandat",164000,3,123,157,2,"mare"
"61","decomandat",148000,3,85,114,2,"mare"
"63","semidecomandat",106000,3,71,93,2,"mediu"
"64","decomandat",26900,1,32,43,1,"mic"
"65","decomandat",53100,2,53,71,1,"mic"
"66","decomandat",39700,1,51,60,1,"mic"
"67","decomandat",215000,4,100,133,2,"mare"
"69","decomandat",186000,3,82,111,2,"mare"
"70","semidecomandat",295000,3,120,148,2,"mare"
"71","decomandat",86900,2,66,78,1,"mediu"
"72","decomandat",52500,2,54,54,1,"mic"
"73","decomandat",301600,3,104,173,2,"mare"
"74","decomandat",41221,1,43,50,1,"mic"
"75","decomandat",63900,2,64,75,1,"mic"
"76","decomandat",121500,3,76,89,2,"mediu"
"77","decomandat",92000,2,61,71,1,"mediu"
"79","decomandat",125000,3,92,125,2,"mediu"
"80","decomandat",106257,3,80,86,2,"mediu"
"82","decomandat",65900,2,63,86,1,"mediu"
"83","decomandat",85900,2,52,63,1,"mediu"
"84","decomandat",41800,2,51,61,1,"mic"
"85","decomandat",50350,2,54,65,1,"mic"
"86","decomandat",40755,1,41,48,1,"mic"
"87","decomandat",115000,3,87,95,2,"mediu"
"88","decomandat",119500,3,90,105,2,"mediu"
"90","decomandat",484990,4,150,280,4,"mare"
"91","decomandat",55000,2,54,59,1,"mic"
"92","decomandat",53000,2,50,60,1,"mic"
"93","semidecomandat",144550,2,47,86,1,"mare"
"94","decomandat",26000,1,28,33,1,"mic"
"95","decomandat",64900,3,72,90,2,"mic"
"96","semidecomandat",59000,2,45,62,1,"mic"
"97","decomandat",47500,2,36,45,1,"mic"
"98","semidecomandat",104000,3,81,103,2,"mediu"
"99","semidecomandat",95000,2,54,70,1,"mediu"
"100","decomandat",43800,2,53,66,1,"mic"
"101","decomandat",179237,3,82,110,2,"mare"
"102","decomandat",91000,2,77,93,1,"mediu"
"103","decomandat",44500,2,54,64,1,"mic"
"104","decomandat",56000,2,70,81,1,"mic"
"105","decomandat",550000,5,218,254,4,"mare"
"106","decomandat",629000,4,124,155,3,"mare"
"107","decomandat",52500,2,55,62,1,"mic"
"108","decomandat",89000,3,74,96,1,"mediu"
"109","decomandat",69429,3,79,92,2,"mediu"
"113","decomandat",92000,2,62,74,1,"mediu"
"115","decomandat",50900,2,55,62,1,"mic"
"118","semidecomandat",89900,2,60,71,1,"mediu"
"120","semidecomandat",144500,3,86,125,1,"mare"
"121","decomandat",67620,2,52,65,1,"mediu"
"126","semidecomandat",89000,3,71,93,1,"mediu"
"128","decomandat",51500,2,58,69,1,"mic"
"129","decomandat",99500,3,89,102,2,"mediu"
"130","decomandat",70389,3,80,92,2,"mediu"
"131","semidecomandat",95000,2,54,74,2,"mediu"
"132","semidecomandat",69994,2,45,53,1,"mediu"
"133","decomandat",109177,3,80,85,2,"mediu"
"134","decomandat",399000,4,173,206,4,"mare"
"135","decomandat",116000,3,129,129,2,"mediu"
"136","decomandat",82000,2,67,67,1,"mediu"
"137","decomandat",74500,2,64,77,1,"mediu"
"138","decomandat",67000,2,65,78,2,"mediu"
"139","decomandat",124000,3,148,148,2,"mediu"
"140","decomandat",71900,3,70,78,2,"mediu"
"142","semidecomandat",319000,3,82,100,2,"mare"
"143","decomandat",31500,1,39,49,1,"mic"
"144","semidecomandat",89500,2,55,70,1,"mediu"
"145","decomandat",675000,5,256,293,4,"mare"
"146","decomandat",49990,2,45,52,1,"mic"
"147","decomandat",109000,2,48,60,1,"mediu"
"148","decomandat",62500,2,56,64,1,"mic"
"149","semidecomandat",449000,4,131,198,3,"mare"
"150","decomandat",90125,2,54,75,1,"mediu"
"152","decomandat",255000,3,103,123,2,"mare"
"153","decomandat",59900,3,57,68,2,"mic"
"154","decomandat",48325,2,58,68,1,"mic"
"155","decomandat",69500,2,57,75,1,"mediu"
"156","decomandat",89500,3,74,86,2,"mediu"
"157","decomandat",251545,4,112,136,3,"mare"
"158","decomandat",56500,2,51,56,1,"mic"
"159","decomandat",215000,3,101,123,2,"mare"
"160","semidecomandat",96116,3,66,87,2,"mediu"
"161","decomandat",215000,4,100,133,2,"mare"
"162","decomandat",775000,5,220,425,4,"mare"
"163","decomandat",215000,3,87,107,2,"mare"
"164","decomandat",118881,2,53,64,1,"mediu"
"165","decomandat",93000,3,86,101,2,"mediu"
"168","decomandat",87150,2,67,80,1,"mediu"
"170","decomandat",474888,5,168,258,4,"mare"
"172","decomandat",31500,1,39,49,1,"mic"
"174","decomandat",83000,2,51,64,1,"mediu"
"175","decomandat",83000,2,56,60,1,"mediu"
"176","semidecomandat",449888,4,113,145,3,"mare"
"178","decomandat",52900,2,48,54,1,"mic"
"179","decomandat",86500,3,69,85,1,"mediu"
"182","decomandat",43850,2,50,62,1,"mic"
"183","semidecomandat",660000,6,231,290,3,"mare"
"184","decomandat",45800,2,57,63,1,"mic"
"185","semidecomandat",40000,1,49,51,1,"mic"
"186","decomandat",53450,2,49,54,1,"mic"
"187","decomandat",124000,3,190,230,2,"mediu"
"188","semidecomandat",92700,2,56,71,1,"mediu"
"189","decomandat",98500,2,59,69,1,"mediu"
"190","decomandat",474990,4,165,258,3,"mare"
"191","decomandat",130000,2,72,86,1,"mediu"
"192","decomandat",42500,2,50,68,1,"mic"
"193","decomandat",56500,2,51,56,1,"mic"
"194","decomandat",43000,2,52,56,1,"mic"
"196","semidecomandat",546700,4,146,208,3,"mare"
"197","semidecomandat",87000,2,47,77,2,"mediu"
"198","decomandat",49500,2,50,60,1,"mic"
"199","decomandat",56099,2,65,75,1,"mic"
"201","decomandat",167000,2,66,79,1,"mare"
"202","decomandat",76600,2,87,100,1,"mediu"
"203","decomandat",52350,2,52,62,1,"mic"
"204","decomandat",73300,3,82,95,1,"mediu"
"205","decomandat",59000,2,59,65,1,"mic"
"207","decomandat",167000,2,66,79,1,"mare"
"208","decomandat",52000,2,51,63,1,"mic"
"209","decomandat",51600,2,50,60,1,"mic"
"210","decomandat",49990,2,45,52,1,"mic"
"211","decomandat",49500,2,50,55,1,"mic"
"212","decomandat",39400,1,36,42,1,"mic"
"213","decomandat",83500,3,84,95,2,"mediu"
"214","decomandat",39400,1,36,45,1,"mic"
"215","decomandat",151630,4,81,118,2,"mare"
"216","decomandat",83850,3,84,100,2,"mediu"
"217","decomandat",61500,2,62,70,1,"mic"
"218","decomandat",55000,2,55,66,1,"mic"
"219","decomandat",46000,1,37,47,1,"mic"
"220","decomandat",52900,2,48,54,1,"mic"
"221","decomandat",61500,2,54,64,1,"mic"
"222","decomandat",118000,3,72,104,2,"mediu"
"223","decomandat",64000,2,56,66,1,"mic"
"224","decomandat",187725,2,63,75,1,"mare"
"225","decomandat",39500,1,36,43,1,"mic"
"226","decomandat",92000,2,65,75,1,"mediu"
"227","decomandat",155000,2,70,83,1,"mare"
"229","decomandat",60857,3,67,76,2,"mic"
"230","decomandat",84396,2,51,76,2,"mediu"
"231","decomandat",59300,2,52,55,1,"mic"
"232","decomandat",45900,2,44,52,1,"mic"
"234","decomandat",97900,2,50,78,1,"mediu"
"235","decomandat",42600,2,50,59,1,"mic"
"236","decomandat",61900,3,63,70,2,"mic"
"237","semidecomandat",79500,3,68,74,2,"mediu"
"238","decomandat",105000,3,80,88,2,"mediu"
"239","decomandat",116000,3,81,115,2,"mediu"
"241","decomandat",82845,2,38,50,1,"mediu"
"242","decomandat",54100,2,54,68,1,"mic"
"243","decomandat",490000,4,185,222,3,"mare"
"244","decomandat",69900,1,33,60,1,"mediu"
"245","decomandat",130000,3,87,95,2,"mediu"
"246","decomandat",77374,2,51,71,2,"mediu"
"247","decomandat",51000,2,68,79,1,"mic"
"248","decomandat",65450,3,69,69,2,"mediu"
"249","decomandat",130000,2,71,86,1,"mediu"
"250","decomandat",48000,2,63,75,1,"mic"
"251","decomandat",173000,4,133,179,3,"mare"
"252","semidecomandat",93500,3,71,93,2,"mediu"
"253","decomandat",219170,4,100,133,2,"mare"
"254","decomandat",870000,4,152,176,3,"mare"
"255","decomandat",77900,2,46,56,1,"mediu"
"256","decomandat",52380,2,47,54,1,"mic"
"257","decomandat",65100,2,54,64,1,"mediu"
"258","semidecomandat",55900,2,52,60,1,"mic"
"260","semidecomandat",36000,2,45,47,1,"mic"
"261","decomandat",60900,1,36,55,1,"mic"
"262","decomandat",489000,4,124,165,3,"mare"
"263","decomandat",67856,2,66,76,1,"mediu"
"264","decomandat",49500,1,38,50,1,"mic"
"266","decomandat",83850,3,83,95,2,"mediu"
"268","decomandat",88600,2,72,86,1,"mediu"
"269","decomandat",67000,2,66,80,2,"mediu"
"270","decomandat",380000,3,326,391,2,"mare"
"271","decomandat",135000,2,55,78,1,"mediu"
"272","decomandat",69685,2,44,63,1,"mediu"
"274","decomandat",78000,2,57,68,1,"mediu"
"275","decomandat",93649,2,48,65,1,"mediu"
"277","decomandat",87300,3,76,96,2,"mediu"
"278","decomandat",58300,2,41,52,1,"mic"
"279","decomandat",59200,2,59,65,1,"mic"
"280","decomandat",58900,2,52,62,1,"mic"
"282","decomandat",58500,2,50,62,1,"mic"
"283","decomandat",88500,2,64,76,1,"mediu"
"284","decomandat",87800,2,62,65,1,"mediu"
"285","decomandat",389000,4,144,177,3,"mare"
"286","decomandat",29880,2,40,48,1,"mic"
"287","semidecomandat",259000,3,87,99,2,"mare"
"288","decomandat",155000,2,69,92,1,"mare"
"289","decomandat",396000,3,90,127,2,"mare"
"290","semidecomandat",99500,4,105,120,2,"mediu"
"291","decomandat",79000,3,84,100,2,"mediu"
"292","semidecomandat",269000,3,91,105,2,"mare"
"293","decomandat",56600,2,58,68,1,"mic"
"294","decomandat",289000,4,117,135,3,"mare"
"295","semidecomandat",74000,3,59,81,1,"mediu"
"296","decomandat",55000,2,55,60,1,"mic"
"297","decomandat",44500,2,53,55,1,"mic"
"298","decomandat",389888,3,141,180,2,"mare"
"299","semidecomandat",299000,3,85,95,2,"mare"
"300","",117000,3,70,80,1,"mediu"
"301","semidecomandat",310000,3,81,93,2,"mare"
"302","decomandat",104500,3,84,84,2,"mediu"
"303","decomandat",52280,2,61,72,1,"mic"
"304","decomandat",450000,3,110,168,2,"mare"
"306","decomandat",368000,3,101,124,2,"mare"
"307","decomandat",55900,2,53,62,1,"mic"
"308","decomandat",209000,4,91,125,2,"mare"
"309","decomandat",697888,3,130,190,2,"mare"
"310","semidecomandat",69000,2,58,62,1,"mediu"
"311","semidecomandat",289000,3,85,117,2,"mare"
"312","decomandat",53900,2,54,57,1,"mic"
"313","decomandat",364000,3,81,112,2,"mare"
"314","decomandat",82857,3,70,90,2,"mediu"
"315","decomandat",86500,2,68,75,1,"mediu"
"316","decomandat",43000,1,33,43,1,"mic"
"317","decomandat",85900,2,83,95,1,"mediu"
"318","decomandat",485000,4,151,300,3,"mare"
"319","decomandat",483000,4,185,222,3,"mare"
"320","semidecomandat",59300,2,45,52,1,"mic"
"321","decomandat",43850,2,49,59,1,"mic"
"322","decomandat",65550,2,58,65,1,"mediu"
"323","decomandat",49900,2,54,65,1,"mic"
"324","decomandat",749888,4,165,221,3,"mare"
"325","decomandat",185000,4,91,130,2,"mare"
"327","decomandat",70380,3,69,80,2,"mediu"
"328","decomandat",79000,3,84,93,2,"mediu"
"329","decomandat",165000,3,76,85,2,"mare"
"330","decomandat",650000,4,150,187,3,"mare"
"331","semidecomandat",612500,4,151,188,4,"mare"
"332","decomandat",63650,2,55,60,1,"mic"
"333","decomandat",28000,1,30,35,1,"mic"
"334","decomandat",41900,1,41,50,1,"mic"
"335","decomandat",84280,3,88,105,2,"mediu"
"337","decomandat",349000,3,113,133,2,"mare"
"339","decomandat",74950,2,64,78,1,"mediu"
"340","decomandat",353000,4,121,194,3,"mare"
"341","decomandat",554500,4,256,305,4,"mare"
"342","decomandat",78000,1,41,43,1,"mediu"
"343","decomandat",54100,2,51,59,1,"mic"
"344","",47500,2,43,52,1,"mic"
"345","decomandat",650000,4,150,187,3,"mare"
"346","decomandat",94000,2,75,75,1,"mediu"
"348","decomandat",59900,2,65,77,1,"mic"
"349","decomandat",90000,2,49,63,1,"mediu"
"350","decomandat",69038,2,66,73,1,"mediu"
"351","decomandat",63500,2,59,73,1,"mic"
"352","decomandat",84000,2,54,66,1,"mediu"
"353","decomandat",286500,3,89,114,2,"mare"
"354","decomandat",134900,3,70,84,2,"mediu"
"355","decomandat",199000,3,78,109,2,"mare"
"357","decomandat",74190,3,89,105,2,"mediu"
"358","decomandat",66000,2,63,78,1,"mediu"
"359","decomandat",160000,3,72,110,2,"mare"
"360","decomandat",82700,3,78,80,2,"mediu"
"361","decomandat",149000,3,81,81,2,"mare"
"362","decomandat",101500,4,81,96,2,"mediu"
"363","decomandat",59000,2,57,68,1,"mic"
"365","decomandat",41990,1,35,42,1,"mic"
"366","decomandat",580000,4,192,223,3,"mare"
"367","decomandat",459000,4,110,123,2,"mare"
"368","decomandat",230000,4,127,162,2,"mare"
"369","decomandat",176000,4,93,120,2,"mare"
"370","decomandat",55238,2,51,65,1,"mic"
